,alpha,beta,gamma,tau,scf_bs,nn_scf_bs
838,19,0.29,9,0.7,4.108648954,4.078863
839,31,0.28,26,0.7,12.64309022,12.65115
840,4,0.22,9,0.74,2.34311189,2.486505
841,18,0.34,11,0.75,5.77117767,5.762156
842,15,0.55,10,0.72,6.615323801,6.6585793
843,39,0.21,31,0.5,12.14590958,12.070232
844,9,0.54,20,0.62,10.19918569,10.351044
845,34,0.32,14,0.66,7.192463129,7.0305023
846,11,0.24,13,0.77,5.161678503,4.942713
847,35,0.4,22,0.91,13.38262241,13.554275
848,28,0.36,23,0.57,12.4130027,12.245075
849,9,0.51,24,0.99,12.41109911,12.154817
850,33,0.56,32,0.84,23.22926549,23.087936
851,24,0.49,31,0.64,19.85479779,19.863188
852,10,0.23,22,0.96,7.728886012,7.4430923
853,36,0.31,11,0.58,4.025962407,5.3716836
854,39,0.46,31,0.86,20.02485268,20.776596
855,6,0.57,20,0.64,6.997059606,6.8163466
856,33,0.21,32,0.5,12.51734341,12.49988
857,28,0.43,22,0.93,13.94746642,14.124501
858,4,0.56,28,0.99,6.002886389,5.9763384
859,10,0.27,22,0.86,8.979526214,8.69207
860,20,0.28,16,0.67,7.599686239,7.458667
861,20,0.56,22,0.79,15.79088464,15.38503
862,31,0.47,26,0.59,15.40706083,15.787617
863,9,0.43,32,1,13.32683898,12.925085
864,29,0.54,10,0.8,6.710437471,6.6869316
865,22,0.23,8,0.79,2.707185604,2.7247262
866,40,0.46,15,0.54,8.725118744,8.518597
867,38,0.25,21,0.7,9.406199501,9.005306
868,11,0.38,20,0.73,10.64946883,10.690817
869,16,0.42,26,0.67,15.68897679,15.575993
870,10,0.44,27,0.77,13.60013049,13.486168
871,18,0.44,27,0.91,17.51246577,17.5863
872,9,0.21,20,0.75,6.728335852,6.6172314
873,25,0.45,9,0.57,5.283015523,5.2918034
874,12,0.29,16,0.94,7.313781535,7.1213055
875,14,0.31,29,0.82,14.36098131,14.562645
876,7,0.5,18,0.74,8.2872041,8.118445
877,18,0.47,18,0.76,11.72251894,11.738695
878,20,0.43,16,0.57,9.241889061,9.210844
879,34,0.2,22,0.91,7.917963571,7.648806
880,21,0.55,13,0.67,8.569398979,8.57143
881,6,0.34,27,0.86,8.443785722,8.442102
882,37,0.28,9,0.85,3.79553568,3.5999177
883,9,0.27,18,0.92,7.038012043,6.7297707
884,4,0.3,28,0.87,7.253906794,7.372061
885,39,0.25,27,0.81,12.37293269,11.985023
886,8,0.34,19,0.67,8.024000364,7.968475
887,33,0.51,23,0.57,13.88515261,14.05092
888,7,0.22,9,0.61,3.082596898,2.9092984
889,5,0.43,23,0.64,6.539501204,6.382527
890,33,0.57,18,0.83,12.90420149,12.747753
891,20,0.37,11,0.96,5.927039897,5.8133693
892,7,0.48,29,0.72,9.842956262,9.921894
893,30,0.5,25,0.71,16.1292066,16.534138
894,39,0.3,18,0.78,9.012499263,8.770136
895,39,0.57,18,0.89,12.95401465,12.874436
896,35,0.25,25,0.76,11.37357783,11.05836
897,9,0.46,28,0.93,12.93759802,12.641506
898,10,0.3,13,0.87,5.958876546,5.7351093
899,6,0.35,19,0.89,6.710787921,6.6010275
900,25,0.31,9,0.73,4.303672592,4.2620068
901,29,0.46,19,0.62,11.63788207,11.545549
902,33,0.21,8,0.95,2.243549481,2.4105554
903,29,0.3,10,0.59,4.799850812,4.8030844
904,36,0.3,29,0.51,13.84785718,13.5619955
905,30,0.4,16,0.84,9.434025129,9.622791
906,19,0.51,18,0.74,12.06842627,12.032266
907,9,0.52,23,0.79,12.21843676,11.969641
908,30,0.42,19,0.69,11.52484343,11.495778
909,38,0.49,30,0.73,19.6509579,20.094631
910,16,0.23,22,0.84,9.036100865,8.938856
911,19,0.4,32,0.52,16.91910184,16.905144
912,24,0.47,25,0.65,15.78395012,15.748171
913,18,0.4,23,0.7,13.76340442,13.760184
914,27,0.52,14,0.68,9.151621773,9.098291
915,24,0.49,30,0.52,17.64383481,17.38212
916,11,0.39,27,0.69,13.54977745,13.494636
917,19,0.2,28,0.5,10.41518992,10.549527
918,33,0.52,10,0.68,6.471966911,6.369345
919,17,0.2,20,0.84,7.237120571,7.2384086
920,4,0.49,22,0.78,5.279543658,5.418489
921,9,0.37,14,0.79,7.235151814,7.1717978
922,5,0.27,13,0.8,4.086189287,4.0220985
923,37,0.47,30,0.91,20.73950644,20.264242
924,22,0.45,27,0.93,17.81913728,17.849428
925,35,0.27,10,0.53,4.474544266,4.4832664
926,16,0.39,29,0.64,16.5961152,16.448107
927,13,0.28,30,0.76,13.47048626,13.517679
928,35,0.3,10,0.97,4.433616632,4.0629225
929,20,0.58,21,0.78,15.176033,14.779631
930,19,0.36,17,0.82,9.612141917,9.671394
931,24,0.43,23,0.7,14.33262926,14.2644205
932,17,0.23,26,0.53,10.60056393,10.542463
933,6,0.27,16,0.73,5.40935499,5.334927
934,25,0.36,24,0.75,13.69044981,13.85604
935,13,0.56,11,0.7,7.320976196,7.315982
936,23,0.35,13,0.69,7.054105647,7.0115533
937,17,0.59,14,0.6,9.033311856,9.022663
938,18,0.22,28,0.5,11.16738351,11.0149145
939,14,0.32,12,0.81,6.01713033,5.975953
940,17,0.42,14,0.85,8.430522941,8.667796
941,7,0.37,32,0.97,10.36992209,10.435873
942,18,0.28,32,0.9,15.19206266,15.636805
943,32,0.39,32,0.71,19.46289432,19.06599
944,19,0.36,17,0.76,9.386317237,9.625666
945,19,0.48,12,0.53,7.067517478,7.0284767
946,28,0.24,9,0.76,3.371546762,3.2180748
947,24,0.41,17,0.66,10.02570452,10.026959
948,10,0.41,21,0.63,10.68378432,10.56966
949,11,0.29,23,0.82,10.30456858,10.121598
950,23,0.6,27,0.67,18.64532314,18.592297
951,14,0.39,8,0.97,4.315658868,4.232923
952,40,0.52,29,0.8,19.77358584,20.197704
953,35,0.24,12,0.94,4.515981164,4.085801
954,30,0.34,28,0.76,15.62931881,15.775652
955,10,0.57,17,0.88,11.13951946,11.081851
956,30,0.6,27,0.93,19.20609171,19.553358
957,14,0.26,24,0.61,10.51553678,10.484658
958,25,0.28,28,0.91,13.3617744,13.677373
959,20,0.52,24,0.69,15.52749673,15.914776
960,24,0.53,29,0.79,19.88915807,20.241508
961,32,0.34,21,0.65,11.2500552,11.231654
962,23,0.57,25,0.7,16.90006751,17.129305
963,17,0.2,23,0.53,8.741155292,8.617807
964,32,0.55,16,0.62,10.39369015,10.232128
965,9,0.58,18,0.95,11.14023846,11.032445
966,13,0.28,11,0.62,5.057763346,5.0454507
